nav_title,current_path,proposed_section,proposed_path,change_type,annotation,status
Home,_docs/_user_guide/introduction.md,Home,_docs/_user_guide/home.md,unchanged,,
Get started,_docs/_user_guide/brazeai/decisioning_studio/getting_started.md,Get started,_docs/_user_guide/get_started.md,unchanged,Braze overview becomes landing page,
Users and segments,_docs/_user_guide/getting_started/users_segments.md,Get started > Users and segments,_docs/_user_guide/get_started/users_and_segments.md,moved,,
Campaigns and Canvases,_docs/_user_guide/getting_started/campaigns_canvases.md,Get started > Campaigns and Canvases,_docs/_user_guide/get_started/campaigns_and_canvases.md,moved,,
Workspaces,_docs/_user_guide/getting_started/workspaces.md,Get started > Workspaces,_docs/_user_guide/get_started/workspaces.md,moved,,
Integrations,_docs/_user_guide/getting_started/integration.md,Get started > Integrations,_docs/_user_guide/get_started/integrations.md,moved,,
SDK overview,_docs/_user_guide/getting_started/web_sdk.md,Get started > SDK overview,_docs/_user_guide/get_started/sdk_overview.md,moved,,
Terms to know,_docs/_user_guide/getting_started/terms_to_know.md,Get started > Terms to know,_docs/_user_guide/get_started/terms_to_know.md,moved,,
Braze Pilot,_docs/_user_guide/getting_started/braze_pilot.md,Get started > Braze Pilot,_docs/_user_guide/get_started/braze_pilot.md,moved,,
B2B use cases,_docs/_user_guide/getting_started/b2b_use_cases.md,Get started > B2B use cases,_docs/_user_guide/get_started/b2b_use_cases.md,moved,,
Administer,_docs/_user_guide/administrative.md,Administer,_docs/_user_guide/administer.md,unchanged,,
Personal,_docs/_user_guide/data/unification/cloud_ingestion/zero_copy_sync.md,Administer > Personal,_docs/_user_guide/administer/personal.md,moved,,
Accessing your account,_docs/_user_guide/administrative/access_braze/accessing_your_account.md,Administer > Personal > Accessing your account,_docs/_user_guide/administer/personal/accessing_your_account.md,merged,"combines ""Accessing your account"" and ""Troubleshooting Braze access""",
The Braze dashboard,_docs/_user_guide/administrative/access_braze/braze_dashboard.md,Administer > Personal > The Braze dashboard,_docs/_user_guide/administer/personal/the_braze_dashboard.md,moved,,
Language settings,_docs/_user_guide/administrative/access_braze/language.md,Administer > Personal > Language settings,_docs/_user_guide/administer/personal/language_settings.md,moved,,
Product portal,_docs/_user_guide/administrative/access_braze/portal.md,Administer > Personal > Product portal,_docs/_user_guide/administer/personal/product_portal.md,moved,,
Braze support,_docs/_user_guide/administrative/access_braze/support.md,Administer > Personal > Braze support,_docs/_user_guide/administer/personal/braze_support.md,moved,,
Global,_docs/_user_guide/analytics/reporting/global_control_group_reporting.md,Administer > Global,_docs/_user_guide/administer/global.md,moved,,
User management,_docs/_user_guide/message_building_by_channel/line/line_users/user_management.md,Administer > Global > User management,_docs/_user_guide/administer/global/user_management.md,moved,,
Manage Braze users,_docs/_user_guide/administrative/app_settings/manage_your_braze_users.md,Administer > Global > User management > Manage Braze users,_docs/_user_guide/administer/global/user_management/manage_braze_users.md,moved,,
Permissions,_docs/_user_guide/administrative/app_settings/manage_your_braze_users/user_permissions.md,Administer > Global > User management > Permissions,_docs/_user_guide/administer/global/user_management/permissions.md,moved,,
Teams,_docs/_user_guide/administrative/app_settings/manage_your_braze_users/teams.md,Administer > Global > User management > Teams,_docs/_user_guide/administer/global/user_management/teams.md,moved,,
Automated user provisioning,_docs/_user_guide/administrative/app_settings/company_settings/automated_user_provisioning.md,Administer > Global > User management > Automated user provisioning,_docs/_user_guide/administer/global/user_management/automated_user_provisioning.md,moved,,
Internal groups,_docs/_user_guide/administrative/app_settings/internal_groups_tab.md,Administer > Global > User management > Internal groups,_docs/_user_guide/administer/global/user_management/internal_groups.md,moved,,
SAML & single sign-on,_docs/_user_guide/administrative/access_braze/single_sign_on.md,Administer > Global > SAML & single sign-on,_docs/_user_guide/administer/global/saml_single_signon.md,moved,,
SAML SSO setup,_docs/_user_guide/administrative/access_braze/single_sign_on/set_up.md,Administer > Global > SAML & single sign-on > SAML SSO setup,_docs/_user_guide/administer/global/saml_single_signon/saml_sso_setup.md,moved,,
SAML Just-in-Time provisioning,_docs/_user_guide/administrative/access_braze/single_sign_on/saml_jit.md,Administer > Global > SAML & single sign-on > SAML Just-in-Time provisioning,_docs/_user_guide/administer/global/saml_single_signon/saml_justintime_provisioning.md,moved,,
Microsoft Entra SSO,_docs/_user_guide/administrative/access_braze/single_sign_on/entra.md,Administer > Global > SAML & single sign-on > Microsoft Entra SSO,_docs/_user_guide/administer/global/saml_single_signon/microsoft_entra_sso.md,moved,,
Okta,_docs/_user_guide/administrative/access_braze/single_sign_on/okta.md,Administer > Global > SAML & single sign-on > Okta,_docs/_user_guide/administer/global/saml_single_signon/okta.md,moved,,
OneLogin,_docs/_user_guide/administrative/access_braze/single_sign_on/onelogin.md,Administer > Global > SAML & single sign-on > OneLogin,_docs/_user_guide/administer/global/saml_single_signon/onelogin.md,moved,,
Create and manage workspaces,_docs/_user_guide/administrative/app_settings/workspaces.md,Administer > Global > Create and manage workspaces,_docs/_user_guide/administer/global/create_and_manage_workspaces.md,moved,,
Workspace settings,_docs/_user_guide/getting_started/workspaces.md,Administer > Global > Workspace settings,_docs/_user_guide/administer/global/workspace_settings.md,moved,,
APIs and identifiers,_docs/_user_guide/administrative/app_settings/api_settings_tab.md,Administer > Global > Workspace settings > APIs and identifiers,_docs/_user_guide/administer/global/workspace_settings/apis_and_identifiers.md,moved,,
Brand guidelines,_docs/_user_guide/administrative/app_settings/brand_guidelines.md,Administer > Global > Workspace settings > Brand guidelines,_docs/_user_guide/administer/global/workspace_settings/brand_guidelines.md,moved,,
Email preferences,_docs/_user_guide/administrative/app_settings/email_settings.md,Administer > Global > Workspace settings > Email preferences,_docs/_user_guide/administer/global/workspace_settings/email_preferences.md,moved,,
API usage alerts,_docs/_user_guide/analytics/dashboard/api_usage_alerts.md,Administer > Global > Workspace settings > Logs and alerts > API usage alerts,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/api_usage_alerts.md,moved,,
Event user log,_docs/_user_guide/administrative/app_settings/event_user_log_tab.md,Administer > Global > Workspace settings > Logs and alerts > Event user log,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/event_user_log.md,moved,,
Exports log,_docs/_user_guide/administrative/app_settings/exports_log.md,Administer > Global > Workspace settings > Logs and alerts > Exports log,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/exports_log.md,moved,,
Message activity log,_docs/_user_guide/administrative/app_settings/message_activity_log_tab.md,Administer > Global > Workspace settings > Logs and alerts > Message activity log,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/message_activity_log.md,moved,,
Multi-language settings,_docs/_user_guide/administrative/app_settings/multi_language_settings.md,Administer > Global > Workspace settings > Multi-language settings,_docs/_user_guide/administer/global/workspace_settings/multilanguage_settings.md,moved,,
Push settings,_docs/_user_guide/administrative/app_settings/push_settings.md,Administer > Global > Workspace settings > Push settings,_docs/_user_guide/administer/global/workspace_settings/push_settings.md,moved,,
Tags,_docs/_user_guide/administrative/app_settings/tags.md,Administer > Global > Workspace settings > Tags,_docs/_user_guide/administer/global/workspace_settings/tags.md,moved,,
Company settings,_docs/_user_guide/administrative/app_settings/company_settings.md,Administer > Global > Company settings,_docs/_user_guide/administer/global/company_settings.md,moved,,
Contact information,_docs/_user_guide/administrative/app_settings/company_settings/contact_information.md,Administer > Global > Company settings > Contact information,_docs/_user_guide/administer/global/company_settings/contact_information.md,moved,,
Notification preferences,_docs/_user_guide/administrative/app_settings/company_settings/notification_preferences.md,Administer > Global > Company settings > Notification preferences,_docs/_user_guide/administer/global/company_settings/notification_preferences.md,moved,,
Security settings,_docs/_user_guide/administrative/app_settings/company_settings/security_settings.md,Administer > Global > Company settings > Security settings,_docs/_user_guide/administer/global/company_settings/security_settings.md,moved,,
Billing,_docs/_user_guide/administrative/app_settings/subscription_and_usage.md,Administer > Global > Billing,_docs/_user_guide/administer/global/billing.md,moved,,
Message Usage Dashboard,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/message_usage.md,Administer > Global > Billing > Message Usage Dashboard,_docs/_user_guide/administer/global/billing/message_usage_dashboard.md,renamed,"renaming to ""Credits dashboard"" soon""",
Privacy,_docs/_user_guide/administrative/privacy.md,Administer > Global > Privacy,_docs/_user_guide/administer/global/privacy.md,moved,,
Data,_docs/_user_guide/data.md,Data,_docs/_user_guide/data.md,removed,landing page becomes introduction to BDP. Remove BDP article,
Unification,_docs/_user_guide/data/unification.md,Data > Unification,_docs/_user_guide/data/unification.md,unchanged,,
Cloud Data Ingestion,_docs/_user_guide/data/unification/cloud_ingestion.md,Data > Unification > Cloud Data Ingestion,_docs/_user_guide/data/unification/cloud_data_ingestion.md,unchanged,,
Best practices,_docs/_user_guide/data/unification/cloud_ingestion/best_practices.md,Data > Unification > Cloud Data Ingestion > Best practices,_docs/_user_guide/data/unification/cloud_data_ingestion/best_practices.md,unchanged,,
Connected Sources,_docs/_user_guide/data/unification/cloud_ingestion/connected_sources.md,Data > Unification > Cloud Data Ingestion > Connected Sources,_docs/_user_guide/data/unification/cloud_data_ingestion/connected_sources.md,unchanged,,
Data warehouse integrations,_docs/_user_guide/data/unification/cloud_ingestion/integrations.md,Data > Unification > Cloud Data Ingestion > Data warehouse integrations,_docs/_user_guide/data/unification/cloud_data_ingestion/data_warehouse_integrations.md,unchanged,,
File storage integrations,_docs/_user_guide/data/unification/cloud_ingestion/file_storage_integrations.md,Data > Unification > Cloud Data Ingestion > File storage integrations,_docs/_user_guide/data/unification/cloud_data_ingestion/file_storage_integrations.md,unchanged,,
Sync and delete account data,_docs/_user_guide/data/unification/cloud_ingestion/sync_accounts_data.md,Data > Unification > Cloud Data Ingestion > Sync and delete account data,_docs/_user_guide/data/unification/cloud_data_ingestion/sync_and_delete_account_data.md,unchanged,,
Sync and delete catalog data,_docs/_user_guide/data/unification/cloud_ingestion/sync_catalogs_data.md,Data > Unification > Cloud Data Ingestion > Sync and delete catalog data,_docs/_user_guide/data/unification/cloud_data_ingestion/sync_and_delete_catalog_data.md,unchanged,,
