file_path,line_number,line_text
_docs/_contributing/local_environment.md,91,"As of writing, all software is free of cost. If you find that a product is no longer free, [please let us know](https://github.com/braze-inc/braze-docs/issues/new?assignees=&labels=issue&projects=&template=report_an_issue.md&title=)."
_docs/_developer_guide/sdk_integration/rate_limits.md,72,"When contacting [support@braze.com](mailto:support@braze.com), please include the following details for each of the networking SDK methods you use:"
_docs/_developer_guide/platforms/legacy_sdks/ios/advanced_use_cases/localization.md,15,"Localization is supported within the Braze iOS SDK. In addition to English, Braze supports several languages for our built-in SDK messages. These pertain to the default messages displayed in applications integrated with Braze, such as places in the app when there are connectivity issues (for example, ""Cannot establish network connection. Please try again later.""). If the phone language is set to one of the supported languages, any of the Braze default strings triggered within an integrated application will automatically appear in that language."
_docs/_developer_guide/content_cards/customizing_cards/feed.md,345,"When a user does not qualify for any Content Cards, the SDK displays an ""empty feed"" error message stating: ""We have no updates. Please check again later."" You can customize this ""empty feed"" error message similar to the following:"
_docs/_api/endpoints/user_data/post_user_track.md,307,Current limits based on expected ingestion can be found in the dashboard under **Settings** > **APIs and Identifiers** > **API Usage Dashboard**. We may modify rate limits to protect system stability or allow for increased data throughput on your account. Please contact Braze Support or your customer success manager for questions or concerns regarding hourly or per-second request limit and the needs of your business.
_docs/_api/endpoints/messaging/send_messages/post_send_transactional_message.md,125,"Most endpoints at Braze have a rate limit implementation that will return a 429 response code if you have made too many requests. The transactional sending endpoint works differently—if you exceed your allotted rate limit, our system will continue to ingest the API calls, return success codes, and send the messages, however those messages may not be subject to the contractual SLA for the feature. Please reach out if you need more information about this functionality."
_docs/_user_guide/engagement_tools/segments/regex.md,32,"Regular expressions for custom event trigger properties and trigger filters use the `/g` modifier (case sensitive, see [g modifier](https://www.w3schools.com/jsref/jsref_regexp_g.asp)) and do not use the `/i` modifier. For case insensitivity for custom event trigger properties and trigger filters, use `(?i)` instead. For example, `Matches regex (?i)STOP(?-i)` catches any use of ""STOP"" in any case (such as ""stop"", ""please stop"", and ""never stop sending me messages"")."
_docs/_user_guide/engagement_tools/segments/user_profiles.md,89,"If you have feedback on this table or would like to see specific events, please email [user-targeting@braze.com](mailto:user-targeting@braze.com?subject=Messaging%20History%20Tab%20Feedback) with the subject line ""Messaging History Tab Feedback""."
_docs/_user_guide/administrative/app_settings/message_activity_log_tab.md,68,"- Unfortunately, messages from [_IP_ADDRESS_] weren't sent. Please contact your Internet Service provider since part of their network is on our block list."
_docs/_user_guide/message_building_by_channel/in-app_messages/traditional/customize/email_capture_form.md,20,"- If a user enters an invalid email address, the user will see the error message: ""Please enter a valid email."""
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/sms/faqs.md,107,"For a keyword to be recognized within a sentence, (for example, ""please stop texting me""), you'll need to use a Liquid statement in the message to recognize the specific word. Event properties have a character limit of 256; otherwise, there is no character limit."
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,47,"| Company Type (private, non-profit, government, public (please provide ticker symbol)) |                                       |                                                              |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,53,We'll need to register each SMS subscription group that contains a US long code with its own A2P 10DLC campaign (sometimes referred to as a use case). Please provide the information below one time for each of your SMS subscription groups that contain a US long code.
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,57,"| Campaign Use-Case (Choose one that best fits) | {::nomarkdown} <ul><li>Marketing</li><li>Account Notifications</li><li>Delivery Notifications</li><li>Customer Care</li><li>Security Alert</li><li>Fraud Alert Messaging</li><li>Higher Education</li><li>Mixed</li><li>Polling and Voting</li><li>Public Service Announcement</li></ul>{:/} | Note: If you plan to use a ""Mixed"" use-case for a subscription group, please consult your Customer Success Manager or Customer Onboarding Manger for important details beforehand |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,63,"| How Do End Users Opt-In To Your SMS Campaign? (Please share how end-users can opt into your SMS program, such as how end users can give consent to receive your SMS messages. If multiple opt-in methods are used, they must all be listed here.) | | {::nomarkdown}<p>Examples:</p><ul><li>End users opt in by texting START to XXXXXXXXXX.</li><li>End users opt in by visiting the website and adding their mobile number. Then, they check a box agreeing to receive SMS.</li><li>If the opt-in method chosen is not yet live. Please provide a mockup/screenshot of the opt-in method.</li></ul>{:/} |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,64,"| Opt-In Keywords | | {::nomarkdown} <p>If end users can text in a keyword to start receiving SMS from this campaign, those keywords must be provided. By default, Braze sets up the following keywords:</p><ul><li>START</li><li>UNSTOP</li><li>YES</li></ul><p>Please let us know if you wish to add any keywords.</p> {:/} |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,66,"| Opt-Out Keywords | | {::nomarkdown} <p>End users must be able to text in a keyword to stop receiving messages from this campaign. By default, Braze sets up the following keywords:</p><ul>  <li>STOP</li><li>STOPALL</li><li>UNSUBSCRIBE</li><li>CANCEL</li><li>END</li><li>QUIT</li></ul><p>Please let us know if you wish to add any keywords.</p>{:/} |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,68,"| Help Keywords | | End users must be able to text in a keyword to receive help. By default, Braze sets up the following keywords: -HELP -INFO Please let us know if you wish to add any keywords. |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,70,| Sample Message 1 of 2 | | Customer/Brand Updates: Hello and Welcome to Customer Brand Updates. Please visit our website at www.customerwebsite.com. Please type HELP for help or STOP to opt out. |
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,71,| Sample Message 2 of 2 | | Customer/Brand Updates: Check out our latest holiday sale for 20% off all items through Monday. Please visit our website at www.customerwebsite.com. Please type HELP for help or STOP to opt out. |
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/user_phone_numbers/10dlc/10dlc_application.md,72,"| Estimated Daily Volume | | Please indicate the estimated average number of messages sent per day for this particular use case/subscription group, for example, 10,000. |"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/keywords/fuzzy_opt_out.md,28,"For example, ""Stpo"" or ""Please stopppp"" will be deemed fuzzy, and a fuzzy opt-out response will be sent. If the user then responds with an opt-out keyword, an unsubscribe event will trigger."
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/keywords/fuzzy_opt_out.md,76,"      <td>""To unsubscribe from all messages, please reply with the word STOP.""</td>"
_docs/_user_guide/message_building_by_channel/sms_mms_rcs/keywords/fuzzy_opt_out.md,80,"      <td>""We received your message. If you'd like to stop receiving texts, please text STOP.""</td>"
_docs/_user_guide/message_building_by_channel/email/universal_links.md,101,"If you see the error ""An App ID with Identifier 'your-app-id' is not available. Please enter a different string"", do the following:"
