file,line_number,original,replacement
_docs/_developer_guide/getting_started/sdk_overview.md,84,"You can assign a set of eligible fields to [`configuration.devicePropertyAllowList`](https://braze-inc.github.io/braze-swift-sdk/documentation/brazekit/braze/configuration-swift.class/devicepropertyallowlist) on your `Braze.Configuration` to specify an allowlist for device fields that are collected by the SDK. The full list of fields is defined in [`Braze.Configuration.DeviceProperty`](https://braze-inc.github.io/braze-swift-sdk/documentation/brazekit/braze/configuration-swift.class/deviceproperty). To turn off the collection of all device fields, set the value of this property to an empty set (`[]`).","You can assign a set of eligible fields to [`configuration.devicePropertyAllowList`](https://braze-inc.github.io/braze-swift-sdk/documentation/brazekit/braze/configuration-swift.class/devicepropertyallowlist) on your `Braze.Configuration` to specify an allowlist for device fields that are collected by the SDK. The full list of fields are defined in [`Braze.Configuration.DeviceProperty`](https://braze-inc.github.io/braze-swift-sdk/documentation/brazekit/braze/configuration-swift.class/deviceproperty). To turn off the collection of all device fields, set the value of this property to an empty set (`[]`)."
_docs/_api/endpoints/messaging/send_messages/post_send_messages.md,85,"|`recipient_subscription_state`| Optional | String | Use this to send messages to only users who have opted in (`opted_in`), only users who have subscribed or are opted in (`subscribed`) or to all users, including unsubscribed users (`all`). <br><br>Using `all` users is useful for transactional email messaging. Defaults to `subscribed`. |","|`recipient_subscription_state`| Optional | String | Use this to send messages to only users who have opted in (`opted_in`), only users who have subscribed or are opted in (`subscribed`) or to all users, including unsubscribed users (`all`). <br><br>Using `all` users are useful for transactional email messaging. Defaults to `subscribed`. |"
_docs/_api/endpoints/messaging/send_messages/post_create_send_ids.md,19,Using the send identifier to track and send messages is useful if you are planning to programmatically generate and send content.,Using the send identifier to track and send messages are useful if you are planning to programmatically generate and send content.
_docs/_api/endpoints/messaging/schedule_messages/post_schedule_messages.md,86,"|`recipient_subscription_state`| Optional | String | Use this to send messages to only users who have opted in (`opted_in`), only users who have subscribed or are opted in (`subscribed`) or to all users, including unsubscribed users (`all`). <br><br>Using `all` users is useful for transactional email messaging. Defaults to `subscribed`. |","|`recipient_subscription_state`| Optional | String | Use this to send messages to only users who have opted in (`opted_in`), only users who have subscribed or are opted in (`subscribed`) or to all users, including unsubscribed users (`all`). <br><br>Using `all` users are useful for transactional email messaging. Defaults to `subscribed`. |"
_docs/_user_guide/personalization_and_dynamic_content/liquid/liquid_use_cases.md,1287,"The following use case checks if a web users is on iOS or Android and, if so, will display a specific message.","The following use case checks if a web users are on iOS or Android and, if so, will display a specific message."
_docs/_user_guide/engagement_tools/canvas/canvas_components/experiment_step/personalized_paths.md,17,"- **Single-send Canvas:** A group of users is held back in a delay group. The remaining users pass into an initial test to train a predictive model for a duration you configure—at least 24 hours for best results. After the test, a model is created to learn which user behaviors were associated with a greater likelihood of converting on a given path. Finally, each user in the delay group is sent down the path most likely to result in conversion for them based on the behaviors they exhibit and what the predictive model learned during the initial test.","- **Single-send Canvas:** A group of users are held back in a delay group. The remaining users pass into an initial test to train a predictive model for a duration you configure—at least 24 hours for best results. After the test, a model is created to learn which user behaviors were associated with a greater likelihood of converting on a given path. Finally, each user in the delay group is sent down the path most likely to result in conversion for them based on the behaviors they exhibit and what the predictive model learned during the initial test."
_docs/_user_guide/engagement_tools/canvas/create_a_canvas/exit_criteria.md,84,"2. Three users perform the conversion event within five minutes (the number of exit events is three, and the number of conversion events is three).","2. Three users perform the conversion event within five minutes (the number of exit events are three, and the number of conversion events are three)."
_docs/_user_guide/engagement_tools/testing/global_control_group.md,131,"If two users who have different external user IDs have the same email address, and one of these users is in the control group and the other is not, then an email will still be sent to that email address whenever the non-control group user is eligible for an email. When this occurs, we will mark both user profiles as having received the campaign or Canvas containing that email.","If two users who have different external user IDs have the same email address, and one of these users are in the control group and the other is not, then an email will still be sent to that email address whenever the non-control group user is eligible for an email. When this occurs, we will mark both user profiles as having received the campaign or Canvas containing that email."
_docs/_user_guide/engagement_tools/testing/global_control_group.md,145,"Only one of these segments is active and can be queried using the [`/users/export/global_control_group` endpoint]({{site.baseurl}}/api/endpoints/export/user_data/post_users_global_control_group/), or exported from the dashboard. The export from the dashboard specifically states which subsegments make up this Global Control Group.","Only one of these segments are active and can be queried using the [`/users/export/global_control_group` endpoint]({{site.baseurl}}/api/endpoints/export/user_data/post_users_global_control_group/), or exported from the dashboard. The export from the dashboard specifically states which subsegments make up this Global Control Group."
_docs/_user_guide/engagement_tools/testing/race_conditions.md,13,"> A race condition occurs when an outcome depends on the sequence or timing of multiple events. For example, if the desired sequence of events is “Event A” then “Event B”, but sometimes “Event A” comes first, and other times “Event B” comes first—that is known as a race condition. This can lead to unexpected results or errors because these events compete to access shared resources or data.","> A race condition occurs when an outcome depends on the sequence or timing of multiple events. For example, if the desired sequence of events are “Event A” then “Event B”, but sometimes “Event A” comes first, and other times “Event B” comes first—that is known as a race condition. This can lead to unexpected results or errors because these events compete to access shared resources or data."
_docs/_user_guide/engagement_tools/testing/race_conditions.md,31,"In Braze, one of the most common race conditions occurs with messages that target newly created users. The expected order of events is:","In Braze, one of the most common race conditions occurs with messages that target newly created users. The expected order of events are:"
_docs/_user_guide/engagement_tools/testing/multivariant_testing/ab_test_projection.md,40,"This feature learns from past A/B tests carried out on Braze. The actual copy of your or any Braze customers' messages is never provided to the model. We first extract the high-level language patterns that predict winning messages in A/B tests. Then, we provide those patterns to our AI to teach it to discern which linguistic features constitute superior subject lines.","This feature learns from past A/B tests carried out on Braze. The actual copy of your or any Braze customers' messages are never provided to the model. We first extract the high-level language patterns that predict winning messages in A/B tests. Then, we provide those patterns to our AI to teach it to discern which linguistic features constitute superior subject lines."
_docs/_user_guide/engagement_tools/messaging_fundamentals/approvals.md,75,"To edit a live campaign, you will need the ""Approve and Deny Campaigns"" permission. A user will need to approve their changes since a draft version of campaigns is not yet available. This is not the case for Canvases as a user can make changes and save as a draft, and another user can approve and launch the Canvas.","To edit a live campaign, you will need the ""Approve and Deny Campaigns"" permission. A user will need to approve their changes since a draft version of campaigns are not yet available. This is not the case for Canvases as a user can make changes and save as a draft, and another user can approve and launch the Canvas."
_docs/_user_guide/engagement_tools/messaging_fundamentals/reeligibility.md,42,Re-eligibility for Canvas variants is tied to Canvas entry rather than message receipt. Users who enter a Canvas and don't receive any messages will not be able to re-enter the Canvas unless re-eligibility is turned on.,Re-eligibility for Canvas variants are tied to Canvas entry rather than message receipt. Users who enter a Canvas and don't receive any messages will not be able to re-enter the Canvas unless re-eligibility is turned on.
_docs/_user_guide/engagement_tools/messaging_fundamentals/product_blocks.md,122,"Dynamic product blocks require [eCommerce recommended events]({{site.baseurl}}/ecommerce_events/) and can only be used within [Canvases]({{site.baseurl}}/ecommerce_use_cases). For Braze Shopify users, these events are automatically included as part of the integration. For non-Shopify users, you need to work with your developers to pass these events into Braze and ensure that the primary product identifier within the events is added as the catalog item ID. ","Dynamic product blocks require [eCommerce recommended events]({{site.baseurl}}/ecommerce_events/) and can only be used within [Canvases]({{site.baseurl}}/ecommerce_use_cases). For Braze Shopify users, these events are automatically included as part of the integration. For non-Shopify users, you need to work with your developers to pass these events into Braze and ensure that the primary product identifier within the events are added as the catalog item ID. "
_docs/_user_guide/engagement_tools/messaging_fundamentals/targeting_users.md,14,"> Determining how to target your users is one of the most crucial steps when creating a campaign or Canvas. By understanding how to segment your audience based on their behaviors, preferences and demographics, you can tailor and personalize your messaging.","> Determining how to target your users are one of the most crucial steps when creating a campaign or Canvas. By understanding how to segment your audience based on their behaviors, preferences and demographics, you can tailor and personalize your messaging."
_docs/_user_guide/engagement_tools/campaigns/testing_and_more/sending_test_messages.md,26,"A convenient way to organize your test users is by creating a [Content Test Group]({{site.baseurl}}/user_guide/administrative/app_settings/internal_groups_tab/), which includes a group of users that will receive test messages from campaigns. You can add this test group to the **Add Content Test Groups** field under **Test Recipients** in your campaign, and launch your tests without creating or adding individual test users.","A convenient way to organize your test users are by creating a [Content Test Group]({{site.baseurl}}/user_guide/administrative/app_settings/internal_groups_tab/), which includes a group of users that will receive test messages from campaigns. You can add this test group to the **Add Content Test Groups** field under **Test Recipients** in your campaign, and launch your tests without creating or adding individual test users."
_docs/_user_guide/engagement_tools/segments/segment_insights.md,63,"To improve conversions among speakers of languages other than English, a good first step would be to [localize campaigns]({{site.baseurl}}/user_guide/engagement_tools/campaigns/ideas_and_strategies/campaigns_in_multiple_languages/#campaigns-in-multiple-languages) to the user's device language and making sure that the copy of those messages is engaging users by using a [multivariate campaign]({{site.baseurl}}/user_guide/engagement_tools/campaigns/testing_and_more/multivariate_testing/#creating-tests) to test different versions of the foreign language copy.","To improve conversions among speakers of languages other than English, a good first step would be to [localize campaigns]({{site.baseurl}}/user_guide/engagement_tools/campaigns/ideas_and_strategies/campaigns_in_multiple_languages/#campaigns-in-multiple-languages) to the user's device language and making sure that the copy of those messages are engaging users by using a [multivariate campaign]({{site.baseurl}}/user_guide/engagement_tools/campaigns/testing_and_more/multivariate_testing/#creating-tests) to test different versions of the foreign language copy."
_docs/_user_guide/engagement_tools/segments/measuring_segment_size.md,23,"It is possible that the number of total users is different than the number of users reachable by each channel. In addition, not all channels are listed in the reachable users table. For example, Content Cards, webhooks, and WhatsApp aren't shown in the breakdown. This means that the total reachable users count could be greater than the sum of the users for each displayed channel.","It is possible that the number of total users are different than the number of users reachable by each channel. In addition, not all channels are listed in the reachable users table. For example, Content Cards, webhooks, and WhatsApp aren't shown in the breakdown. This means that the total reachable users count could be greater than the sum of the users for each displayed channel."
_docs/_user_guide/engagement_tools/segments/measuring_segment_size.md,68,"However, it's possible that the number of total users is different than the sum of users reachable by each channel, as a single user may belong to different reachable user groups. For example, a user might have both a valid email address and valid Android push token and be opted in to both, but have no associated iOS push token. ","However, it's possible that the number of total users are different than the sum of users reachable by each channel, as a single user may belong to different reachable user groups. For example, a user might have both a valid email address and valid Android push token and be opted in to both, but have no associated iOS push token. "
_docs/_user_guide/engagement_tools/segments/segment_extension/sql_segments/rfm_segments.md,27,Purchase events must be enabled to use RFM SQL segments because the monetary value for your users is determined by the revenue they’ve generated through Braze purchase events.,Purchase events must be enabled to use RFM SQL segments because the monetary value for your users are determined by the revenue they’ve generated through Braze purchase events.
_docs/_user_guide/administrative/app_settings/internal_groups_tab.md,101,"If you have a recurring campaign and any one of the variants is updated, you can choose to send again to only the updated variants or all variants, or turn off Seed Group sending upon update.","If you have a recurring campaign and any one of the variants are updated, you can choose to send again to only the updated variants or all variants, or turn off Seed Group sending upon update."
