file,line,original_excerpt,replacement,confidence
_docs/_partners/isv_partners/currents_integration.md,23,will continue to,continues to,rerun
_docs/_partners/isv_partners/currents_integration.md,23,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,23,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,48,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,387,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,405,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,421,will continue to,continues to,rerun
_docs/_partners/isv_partners/currents_integration.md,421,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,425,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,431,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,450,will be re-sent,is re-sent,rerun
_docs/_partners/isv_partners/currents_integration.md,450,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,455,will be split into,is split into,rerun
_docs/_partners/isv_partners/currents_integration.md,455,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,460,will be re-sent,is re-sent,rerun
_docs/_partners/isv_partners/currents_integration.md,460,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,465,will be re-sent,is re-sent,rerun
_docs/_partners/isv_partners/currents_integration.md,465,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,470,will be re-sent,is re-sent,rerun
_docs/_partners/isv_partners/currents_integration.md,470,will be,is,rerun
_docs/_partners/isv_partners/currents_integration.md,475,will be split into,is split into,rerun
_docs/_partners/isv_partners/currents_integration.md,480,will be re-sent,is re-sent,rerun
_docs/_partners/isv_partners/currents_integration.md,480,will be,is,rerun
_docs/_partners/isv_partners/cohort_import.md,13,will be,is,rerun
_docs/_partners/isv_partners/cohort_import.md,44,will provide,provides,rerun
_docs/_partners/isv_partners/cohort_import.md,44,will provide,provides,rerun
_docs/_partners/isv_partners/cohort_import.md,60,will be,is,rerun
_docs/_partners/isv_partners/cohort_import.md,60,will be,is,rerun
_docs/_partners/isv_partners/cohort_import.md,86,will be,is,rerun
