file,line_number,original,replacement
_docs/_user_guide/engagement_tools/segments/managing_segments.md,13,"> The Segments section allows you to view a comprehensive list of your existing segments, create new segments, and edit existing segments. You can refine the list of segments by selecting a variety of filters and columns so only the most relevant information to you is displayed.","> The Segments section allows you to view a comprehensive list of your existing segments, create new segments, and edit existing segments. You can refine the list of segments by selecting a variety of filters and columns so only the most relevant information to you are displayed."
_docs/_partners/data_and_analytics/data_warehouses/snowflake.md,126,"You is able to query against the most recent two years of data for each event in the corresponding `USERS_*_SHARED` view. Additionally, each event will have a `USERS_*_SHARED_ALL` view which can be queried against to return both anonymized and non-anonymized data.","You are able to query against the most recent two years of data for each event in the corresponding `USERS_*_SHARED` view. Additionally, each event will have a `USERS_*_SHARED_ALL` view which can be queried against to return both anonymized and non-anonymized data."
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,53,"2. Provide a name and notification email in the workflow modal. Click the **Create** button. On creation, you is taken to the Workflow Builder. Your Braze workflow is seeded with API calls and actions that can be used to process deletion requests. <br><br>","2. Provide a name and notification email in the workflow modal. Click the **Create** button. On creation, you are taken to the Workflow Builder. Your Braze workflow is seeded with API calls and actions that can be used to process deletion requests. <br><br>"
_docs/_partners/data_and_analytics/data_privacy/onetrust.md,60,"2. Provide a name and notification email in the workflow modal. Click the **Create** button. On creation, you is taken to the Workflow Builder. Your Braze workflow is seeded with API calls and actions that can be used to process deletion requests. <br><br>","2. Provide a name and notification email in the workflow modal. Click the **Create** button. On creation, you are taken to the Workflow Builder. Your Braze workflow is seeded with API calls and actions that can be used to process deletion requests. <br><br>"
_docs/_partners/data_and_analytics/workflow_automation/mozart_data.md,60,"You is redirected to the Fivetran connector page. On this page, fill out the given fields. Next, click **Continue** > **Save & Test** to complete the Fivetran connector.","You are redirected to the Fivetran connector page. On this page, fill out the given fields. Next, click **Continue** > **Save & Test** to complete the Fivetran connector."
_docs/_partners/data_and_analytics/workflow_automation/fivetran.md,87,"Select **Another AWS Account** and provide the Fivetran account ID `834469178297`. Make sure to check the **Require external ID** checkbox. Here, you provides the external ID found in step 1.","Select **Another AWS Account** and provide the Fivetran account ID `834469178297`. Make sure to check the **Require external ID** checkbox. Here, you provide the external ID found in step 1."
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,64,"- Custom attributes: Specify here the new fields you sends to Braze, their format (string, integer, float), and tick the **Required for syncs** if you want one of them to be mandatory for a sync.","- Custom attributes: Specify here the new fields you send to Braze, their format (string, integer, float), and tick the **Required for syncs** if you want one of them to be mandatory for a sync."
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,73,"Next, select **Braze** as the destination and which entity you sends data to.","Next, select **Braze** as the destination and which entity you send data to."
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium.md,156,"6. Lastly, select **Save / Publish** found at the top of the page. If you do not publish your source, you is unable to find it when configuring your Braze connector.","6. Lastly, select **Save / Publish** found at the top of the page. If you do not publish your source, you are unable to find it when configuring your Braze connector."
_docs/_partners/data_and_analytics/customer_data_platform/segment/segment.md,425,"Segment **does not** limit the number of data elements clients send to them. Segment allows you to send all or decide which events you sends to Braze. Rather than sending all of your events using Segment, we suggest you review use cases with your marketing and editorial teams to determine which events you sends to Braze to avoid data overages.","Segment **does not** limit the number of data elements clients send to them. Segment allows you to send all or decide which events you send to Braze. Rather than sending all of your events using Segment, we suggest you review use cases with your marketing and editorial teams to determine which events you send to Braze to avoid data overages."
_docs/_partners/data_and_analytics/customer_data_platform/amplitude/amplitude_audiences.md,56,Use Audiences to send user properties and computations to Braze as custom attributes. You is able to sync user properties or computed properties for users who have been active in the last 90 days.,Use Audiences to send user properties and computations to Braze as custom attributes. You are able to sync user properties or computed properties for users who have been active in the last 90 days.
_docs/_partners/data_and_analytics/cloud_storage/amazon_s3.md,324,"If you intend to create more than one Currents connector to send to your S3 bucket, you is able to use the same credentials, but must specify a different folder path for each. These can be created in the same workspace, or split and created within multiple workspaces. You also have the option of creating a single policy for each integration, or create one policy that covers both integrations. ","If you intend to create more than one Currents connector to send to your S3 bucket, you are able to use the same credentials, but must specify a different folder path for each. These can be created in the same workspace, or split and created within multiple workspaces. You also have the option of creating a single policy for each integration, or create one policy that covers both integrations. "
_docs/_partners/additional_channels_and_extensions/additional_channels/mobile_wallet/passkit.md,106,"Next, you is creating your encryption signature using a [SHA1 HMAC](https://en.wikipedia.org/wiki/HMAC) hash of the project URL and the payload. ","Next, you are creating your encryption signature using a [SHA1 HMAC](https://en.wikipedia.org/wiki/HMAC) hash of the project URL and the payload. "
_docs/_partners/additional_channels_and_extensions/additional_channels/instant_chat/front.md,221,- SMS messages at Braze are charged per message segment. Understanding what defines a segment and how these messages is split is key in understanding how you is billed for messages. See more information in our [documentation]({{site.baseurl}}/user_guide/message_building_by_channel/sms_mms_rcs/segments/).,- SMS messages at Braze are charged per message segment. Understanding what defines a segment and how these messages is split is key in understanding how you are billed for messages. See more information in our [documentation]({{site.baseurl}}/user_guide/message_building_by_channel/sms_mms_rcs/segments/).
_docs/_partners/ecommerce/ordering_payments_subscription/olo.md,55,Olo requires a successful response from the Test Event webhook before you is able to complete the Olo webhook configuration process.,Olo requires a successful response from the Test Event webhook before you are able to complete the Olo webhook configuration process.
_docs/_partners/ecommerce/analytics_workflow/wunderkind.md,30,Reach out to your WunderKind team to help set up the integration. You is asked to provide your Braze ESP or API credentials so that Wunderkind can send out email deployments and subscription statuses through the API. ,Reach out to your WunderKind team to help set up the integration. You are asked to provide your Braze ESP or API credentials so that Wunderkind can send out email deployments and subscription statuses through the API. 
_docs/_partners/ecommerce/shopify/shopify_overview.md,35,"If you plan to integrate with a custom external ID (for either the [standard integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_standard_integration/#step-4-configure-how-you-manage-users) or the [custom integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_custom_integration/#step-6-configure-how-you-manage-users-optional)), you is required to add your custom external ID as a Shopify customer metafield to all existing Shopify customer profiles and then perform the [historical backfill]({{site.baseurl}}/partners/ecommerce/shopify/shopify_data_features/#historical-backfill). ","If you plan to integrate with a custom external ID (for either the [standard integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_standard_integration/#step-4-configure-how-you-manage-users) or the [custom integration]({{site.baseurl}}/partners/ecommerce/shopify/shopify_custom_integration/#step-6-configure-how-you-manage-users-optional)), you are required to add your custom external ID as a Shopify customer metafield to all existing Shopify customer profiles and then perform the [historical backfill]({{site.baseurl}}/partners/ecommerce/shopify/shopify_data_features/#historical-backfill). "
